Freq	Int 	Phase
-4.37556e+14	1.12747e-17	1.81493
-4.37068e+14	4.81363e-18	-1.69798
-4.36579e+14	1.46682e-17	2.36474
-4.36091e+14	5.73543e-17	2.92418
-4.35603e+14	1.99058e-17	2.46366
-4.35114e+14	3.73362e-17	-3.14083
-4.34626e+14	2.15841e-17	2.50311
-4.34138e+14	1.5715e-17	1.39318
-4.3365e+14	5.24417e-18	2.13896
-4.33161e+14	1.98671e-19	2.03545
-4.32673e+14	7.677e-19	-0.127874
-4.32185e+14	2.65346e-17	2.41385
-4.31696e+14	3.25339e-17	-2.71703
-4.31208e+14	3.38383e-17	3.12113
-4.3072e+14	6.30491e-18	-2.28102
-4.30232e+14	1.61628e-18	2.31837
-4.29743e+14	5.01709e-17	2.83301
-4.29255e+14	2.16814e-18	-2.99794
-4.28767e+14	1.32581e-17	2.36594
-4.28279e+14	2.77407e-17	2.20212
-4.2779e+14	2.09603e-17	2.77831
-4.27302e+14	5.031e-17	2.55956
-4.26814e+14	2.4527e-17	2.99567
-4.26325e+14	1.93027e-17	2.23969
-4.25837e+14	4.26454e-17	2.76625
-4.25349e+14	5.79429e-18	-1.00493
-4.24861e+14	2.20464e-17	2.98984
-4.24372e+14	1.42712e-17	2.23119
-4.23884e+14	1.33552e-17	2.9229
-4.23396e+14	2.4675e-17	3.09194
-4.22907e+14	3.22066e-17	2.29265
-4.22419e+14	2.50671e-17	2.51912
-4.21931e+14	1.28454e-17	2.97906
-4.21443e+14	2.47829e-17	2.61329
-4.20954e+14	2.54989e-17	2.58905
-4.20466e+14	8.10504e-18	2.52836
-4.19978e+14	2.20126e-17	2.33032
-4.19489e+14	2.38792e-17	2.57802
-4.19001e+14	5.26681e-19	2.20207
-4.18513e+14	3.53415e-18	1.50695
-4.18025e+14	2.04752e-18	3.00191
-4.17536e+14	1.24899e-18	-2.86244
-4.17048e+14	3.09755e-18	-1.92201
-4.1656e+14	1.13833e-17	1.58675
-4.16071e+14	2.69995e-17	-2.35682
-4.15583e+14	5.09605e-18	1.6911
-4.15095e+14	5.49918e-17	2.71271
-4.14607e+14	1.8357e-18	-0.471918
-4.14118e+14	1.36335e-17	1.14697
-4.1363e+14	6.48983e-18	0.757608
-4.13142e+14	1.47687e-17	2.83993
-4.12654e+14	3.74635e-17	2.00451
-4.12165e+14	5.03829e-18	-1.50257
-4.11677e+14	1.19794e-18	2.46331
-4.11189e+14	2.1842e-17	1.87803
-4.107e+14	3.63937e-18	2.87837
-4.10212e+14	1.07781e-17	0.370156
-4.09724e+14	7.51978e-19	-2.03512
-4.09236e+14	8.12955e-18	1.72214
-4.08747e+14	4.08634e-17	1.31095
-4.08259e+14	3.84299e-18	-0.649873
-4.07771e+14	7.19988e-18	-2.85462
-4.07282e+14	3.34251e-18	2.59437
-4.06794e+14	4.51014e-18	0.935143
-4.06306e+14	9.54224e-18	-2.50954
-4.05818e+14	4.3449e-18	-1.02157
-4.05329e+14	3.38216e-17	3.11519
-4.04841e+14	1.66843e-18	1.83957
-4.04353e+14	8.28726e-19	-1.511
-4.03864e+14	1.53584e-17	-1.76072
-4.03376e+14	2.55645e-17	-2.44585
-4.02888e+14	1.21388e-17	-2.07857
-4.024e+14	3.32509e-17	-1.92407
-4.01911e+14	2.08309e-17	-1.11606
-4.01423e+14	2.37993e-19	-2.56709
-4.00935e+14	3.1919e-19	-2.57272
-4.00446e+14	5.0325e-17	-2.34277
-3.99958e+14	7.06275e-18	-1.49347
-3.9947e+14	3.59319e-17	-2.83755
-3.98982e+14	6.29461e-18	-2.59159
-3.98493e+14	2.20199e-18	-2.32531
-3.98005e+14	4.29635e-17	-1.71405
-3.97517e+14	3.28563e-17	-2.06815
-3.97029e+14	3.08076e-18	-0.642338
-3.9654e+14	3.42262e-17	-2.16713
-3.96052e+14	9.97847e-17	-1.79238
-3.95564e+14	2.86672e-17	-1.64522
-3.95075e+14	2.68449e-17	-1.96839
-3.94587e+14	4.37388e-17	-1.50289
-3.94099e+14	3.32237e-17	-1.80934
-3.93611e+14	1.139e-17	-1.42081
-3.93122e+14	1.16531e-17	-1.19926
-3.92634e+14	3.81354e-17	-2.17591
-3.92146e+14	6.55691e-17	-1.77555
-3.91657e+14	3.52965e-17	-1.93705
-3.91169e+14	5.88419e-17	-1.65751
-3.90681e+14	3.18316e-18	0.48545
-3.90193e+14	3.14903e-17	-1.02794
-3.89704e+14	2.70939e-17	-0.245236
-3.89216e+14	7.29258e-17	-0.114841
-3.88728e+14	3.10738e-17	-0.347767
-3.88239e+14	2.14994e-16	-0.208679
-3.87751e+14	5.76927e-17	-1.40678
-3.87263e+14	8.75154e-17	-0.184596
-3.86775e+14	4.6463e-17	-1.27811
-3.86286e+14	4.99679e-17	-0.253351
-3.85798e+14	1.12853e-16	-0.111195
-3.8531e+14	2.55961e-16	-0.271055
-3.84821e+14	5.39022e-18	0.268981
-3.84333e+14	1.15944e-16	-0.404614
-3.83845e+14	6.18771e-17	-0.836036
-3.83357e+14	1.52079e-16	-1.09204
-3.82868e+14	1.82993e-16	-0.0648257
-3.8238e+14	1.25611e-16	-0.352946
-3.81892e+14	1.34011e-16	-0.423121
-3.81404e+14	5.86851e-17	-0.0388171
-3.80915e+14	4.50699e-18	-1.39081
-3.80427e+14	4.85393e-16	-0.595357
-3.79939e+14	1.20579e-16	-0.698138
-3.7945e+14	3.62476e-16	-0.227118
-3.78962e+14	1.49008e-16	-0.824469
-3.78474e+14	1.18054e-16	0.186885
-3.77986e+14	2.12893e-16	-0.397292
-3.77497e+14	5.01939e-16	-0.321489
-3.77009e+14	9.16046e-18	0.408639
-3.76521e+14	1.12176e-16	-0.421416
-3.76032e+14	8.5e-18	0.440025
-3.75544e+14	1.15678e-16	-0.310918
-3.75056e+14	9.85831e-18	-0.924809
-3.74568e+14	4.19241e-17	-0.745456
-3.74079e+14	1.24145e-17	-1.99976
-3.73591e+14	3.49872e-17	0.156231
-3.73103e+14	5.05378e-17	0.997135
-3.72614e+14	3.78307e-17	-0.710409
-3.72126e+14	5.44802e-17	-1.86677
-3.71638e+14	8.67099e-18	-1.4376
-3.7115e+14	1.09044e-16	-3.03789
-3.70661e+14	8.56056e-18	-2.36514
-3.70173e+14	2.92736e-17	1.3109
-3.69685e+14	3.05858e-17	-0.605243
-3.69196e+14	2.15861e-17	0.98568
-3.68708e+14	3.84734e-17	-0.471041
-3.6822e+14	6.54005e-18	1.0826
-3.67732e+14	7.3247e-17	-2.72701
-3.67243e+14	5.03889e-18	2.55389
-3.66755e+14	2.24195e-17	3.00021
-3.66267e+14	7.6448e-19	-2.10285
-3.65779e+14	3.55811e-17	-2.58132
-3.6529e+14	1.9783e-17	1.72213
-3.64802e+14	1.16584e-17	2.88146
-3.64314e+14	5.00274e-17	2.04922
-3.63825e+14	5.086e-17	2.51522
-3.63337e+14	4.32088e-17	1.7901
-3.62849e+14	3.16674e-17	-2.81399
-3.62361e+14	1.77392e-17	2.38779
-3.61872e+14	2.15326e-17	-3.12399
-3.61384e+14	1.16233e-17	2.17249
-3.60896e+14	8.30128e-18	-3.11785
-3.60407e+14	2.8599e-17	1.66337
-3.59919e+14	9.34932e-18	2.23674
-3.59431e+14	2.74342e-18	0.221148
-3.58943e+14	1.5958e-17	2.85374
-3.58454e+14	3.56207e-18	-0.017656
-3.57966e+14	3.56244e-17	-2.8177
-3.57478e+14	8.84226e-18	-2.1632
-3.56989e+14	1.96454e-17	-3.00273
-3.56501e+14	2.50925e-17	1.87218
-3.56013e+14	7.94443e-17	-3.05799
-3.55525e+14	4.31029e-18	1.81337
-3.55036e+14	3.47825e-17	-3.03792
-3.54548e+14	9.55117e-19	-0.281462
-3.5406e+14	3.49312e-17	-3.01455
-3.53571e+14	3.65312e-18	2.44179
-3.53083e+14	4.65229e-17	2.83097
-3.52595e+14	1.7431e-17	2.13246
-3.52107e+14	3.58857e-17	-2.71372
-3.51618e+14	3.76689e-18	-3.12971
-3.5113e+14	8.04972e-17	2.87555
-3.50642e+14	4.8596e-18	-2.054
-3.50154e+14	3.63805e-17	-3.06021
-3.49665e+14	6.66848e-17	-2.36849
-3.49177e+14	2.93972e-17	2.82247
-3.48689e+14	1.56217e-17	-2.47872
-3.482e+14	7.12504e-17	-2.98365
-3.47712e+14	1.26125e-17	-1.74884
-3.47224e+14	3.41615e-17	2.24578
-3.46736e+14	7.31447e-17	-2.96515
-3.46247e+14	9.50294e-18	1.83422
-3.45759e+14	3.92754e-18	-1.91895
-3.45271e+14	5.12878e-17	3.02863
-3.44782e+14	6.98714e-19	-1.76572
-3.44294e+14	1.59499e-17	-2.27611
-3.43806e+14	1.32644e-17	-0.738214
-3.43318e+14	9.85491e-18	2.28587
-3.42829e+14	1.08801e-17	-1.24053
-3.42341e+14	8.93897e-18	-3.12778
-3.41853e+14	1.20362e-17	2.96773
-3.41364e+14	6.01682e-18	2.15929
-3.40876e+14	2.80618e-17	1.58949
-3.40388e+14	5.53567e-18	2.53418
-3.399e+14	4.55325e-18	1.02522
-3.39411e+14	7.08311e-18	0.332859
-3.38923e+14	2.61374e-18	2.49227
-3.38435e+14	1.05916e-17	0.924277
-3.37946e+14	9.59246e-18	1.31511
-3.37458e+14	3.00235e-17	1.71194
-3.3697e+14	5.05459e-18	1.59727
-3.36482e+14	1.39244e-17	2.16852
-3.35993e+14	6.34631e-18	0.0792211
-3.35505e+14	7.84644e-18	1.09065
-3.35017e+14	1.47385e-18	0.189601
-3.34529e+14	6.16756e-18	0.610653
-3.3404e+14	3.34706e-18	1.62512
-3.33552e+14	2.10094e-17	0.604556
-3.33064e+14	4.86652e-18	0.499568
-3.32575e+14	1.08539e-17	-0.156383
-3.32087e+14	3.29575e-18	0.559897
-3.31599e+14	3.45156e-18	0.553235
-3.31111e+14	5.08067e-19	-0.0983484
-3.30622e+14	2.08239e-17	1.16265
-3.30134e+14	6.18493e-18	0.421433
-3.29646e+14	7.57678e-18	2.01364
-3.29157e+14	1.4466e-18	0.711401
-3.28669e+14	1.01417e-17	0.500622
-3.28181e+14	5.0107e-18	-0.117689
-3.27693e+14	1.19568e-17	1.09908
-3.27204e+14	2.75812e-18	-2.65672
-3.26716e+14	2.64755e-18	-2.54403
-3.26228e+14	1.91153e-18	1.9043
-3.25739e+14	2.23037e-17	-0.843604
-3.25251e+14	1.03759e-17	0.214138
-3.24763e+14	1.33368e-17	-0.62503
-3.24275e+14	3.9186e-18	0.882402
-3.23786e+14	4.2712e-17	-0.340772
-3.23298e+14	1.71812e-17	-1.29693
-3.2281e+14	6.22127e-18	-1.01753
-3.22321e+14	1.38976e-18	0.703667
